Time,fr,V1,V2,V3,V4,V5,C_V1,C_V2,C_V3,C_V4,C_V5,Network
0,0,788,2151,164,20,9,0.251596424,0.686781609,0.052362708,0.006385696,0.002873563,G
1,0.011990408,567,1724,114,16,5,0.181034483,0.550446999,0.036398467,0.005108557,0.001596424,G
2,0.021582734,456,1469,103,15,5,0.14559387,0.469029374,0.032886335,0.004789272,0.001596424,G
3,0.03117506,412,1341,94,14,5,0.131545338,0.42816092,0.030012771,0.004469987,0.001596424,G
4,0.040767386,357,1218,78,14,3,0.113984674,0.388888889,0.024904215,0.004469987,0.000957854,G
5,0.050359712,297,1038,58,11,1,0.094827586,0.331417625,0.018518519,0.003512133,0.000319285,G
6,0.059952038,257,907,46,11,1,0.082056194,0.289591315,0.014687101,0.003512133,0.000319285,G
7,0.069544365,226,816,35,9,0,0.072158365,0.260536398,0.011174968,0.002873563,0,G
8,0.081534772,197,719,31,7,0,0.062899106,0.229565773,0.009897829,0.002234994,0,G
9,0.091127098,157,617,30,5,0,0.050127714,0.196998723,0.009578544,0.001596424,0,G
10,0.100719424,124,525,25,3,0,0.039591315,0.167624521,0.00798212,0.000957854,0,G
11,0.110311751,99,450,19,2,0,0.031609195,0.143678161,0.006066411,0.00063857,0,G
12,0.119904077,89,407,19,2,0,0.028416347,0.129948914,0.006066411,0.00063857,0,G
13,0.131894484,72,344,19,1,0,0.022988506,0.109833972,0.006066411,0.000319285,0,G
14,0.141486811,60,293,17,1,0,0.019157088,0.093550447,0.005427842,0.000319285,0,G
15,0.151079137,56,261,11,1,0,0.017879949,0.083333333,0.003512133,0.000319285,0,G
16,0.160671463,48,232,11,1,0,0.01532567,0.074074074,0.003512133,0.000319285,0,G
17,0.170263789,42,205,6,1,0,0.013409962,0.065453384,0.001915709,0.000319285,0,G
18,0.179856115,39,194,6,1,0,0.012452107,0.061941252,0.001915709,0.000319285,0,G
19,0.191846523,28,154,3,1,0,0.008939974,0.04916986,0.000957854,0.000319285,0,G
20,0.201438849,27,139,2,1,0,0.00862069,0.044380587,0.00063857,0.000319285,0,G
21,0.211031175,27,135,2,1,0,0.00862069,0.043103448,0.00063857,0.000319285,0,G
22,0.220623501,24,121,2,1,0,0.007662835,0.038633461,0.00063857,0.000319285,0,G
23,0.230215827,22,113,2,1,0,0.007024266,0.036079183,0.00063857,0.000319285,0,G
24,0.239808153,22,110,0,1,0,0.007024266,0.035121328,0,0.000319285,0,G
25,0.251798561,21,97,0,1,0,0.006704981,0.030970626,0,0.000319285,0,G
26,0.261390887,21,97,0,1,0,0.006704981,0.030970626,0,0.000319285,0,G
27,0.270983213,17,78,0,1,0,0.005427842,0.024904215,0,0.000319285,0,G
28,0.28057554,17,78,0,1,0,0.005427842,0.024904215,0,0.000319285,0,G
29,0.290167866,16,72,0,1,0,0.005108557,0.022988506,0,0.000319285,0,G
30,0.302158273,16,72,0,1,0,0.005108557,0.022988506,0,0.000319285,0,G
31,0.3117506,13,64,0,0,0,0.004150702,0.020434227,0,0,0,G
32,0.321342926,10,50,0,0,0,0.003192848,0.01596424,0,0,0,G
33,0.330935252,9,47,0,0,0,0.002873563,0.015006386,0,0,0,G
34,0.340527578,7,39,0,0,0,0.002234994,0.012452107,0,0,0,G
35,0.350119904,7,39,0,0,0,0.002234994,0.012452107,0,0,0,G
36,0.35971223,6,35,0,0,0,0.001915709,0.011174968,0,0,0,G
37,0.371702638,6,34,0,0,0,0.001915709,0.010855683,0,0,0,G
38,0.381294964,6,32,0,0,0,0.001915709,0.010217114,0,0,0,G
39,0.39088729,6,32,0,0,0,0.001915709,0.010217114,0,0,0,G
40,0.400479616,5,30,0,0,0,0.001596424,0.009578544,0,0,0,G
41,0.410071942,4,25,0,0,0,0.001277139,0.00798212,0,0,0,G
42,0.419664269,4,25,0,0,0,0.001277139,0.00798212,0,0,0,G
43,0.431654676,0,9,0,0,0,0,0.002873563,0,0,0,G
44,0.441247002,0,4,0,0,0,0,0.001277139,0,0,0,G
45,0.450839329,0,1,0,0,0,0,0.000319285,0,0,0,G
46,0.460431655,0,1,0,0,0,0,0.000319285,0,0,0,G
47,0.470023981,0,1,0,0,0,0,0.000319285,0,0,0,G
48,0.479616307,0,1,0,0,0,0,0.000319285,0,0,0,G
49,0.494004796,0,1,0,0,0,0,0.000319285,0,0,0,G
50,0.501199041,0,1,0,0,0,0,0.000319285,0,0,0,G
51,0.510791367,0,1,0,0,0,0,0.000319285,0,0,0,G
52,0.520383693,0,1,0,0,0,0,0.000319285,0,0,0,G
53,0.529976019,0,1,0,0,0,0,0.000319285,0,0,0,G
54,0.541966427,0,1,0,0,0,0,0.000319285,0,0,0,G
55,0.551558753,0,1,0,0,0,0,0.000319285,0,0,0,G
56,0.561151079,0,1,0,0,0,0,0.000319285,0,0,0,G
57,0.570743405,0,1,0,0,0,0,0.000319285,0,0,0,G
58,0.580335731,0,0,0,0,0,0,0,0,0,0,G
59,0.592326139,0,0,0,0,0,0,0,0,0,0,G
60,0.601918465,0,0,0,0,0,0,0,0,0,0,G
